x,y,source,title
23.916977,-13.494518,Individual.com,"Shares of Harsco Under Pressure, Down 2.2%"
-26.064396,-5.694769,Droitwich Spa Advertiser,Music to the ears as Worcester Music Festival continues in the city MUSIC lovers have been spoilt for choice this weekend as Worcester Music Festival continues to take over city venues.
-0.5583408,37.79604,Hindustan Times,9/2/2015: HT LUDHIANA: GNIMT conducts seminar on Bootstrap
-22.146374,27.107994,Irish Examiner,Female Garda stable after patrol car rammed by stolen car
-16.306555,-17.40473,Tech Investor News,AMC closes out season 1 of Fear the Walking Dead with launch of Web series Flight 462 (Stephanie Topacio Long/Digital Trends)
-4.7049685,26.229946,EIN News,Qapital Announces Integration with Financial Software Giant...
-26.847935,25.207506,9News.com.au,Three-month-old baby girl dies under suspicious circumstances in Heathcote
-44.607708,11.572632,Singleton Argus,"Travel deals: $1000 worth of added bonuses with Noumea, Loyalty Islands, New Caledonia holiday package"
-14.925065,9.102877,Bunker Index,Hapag-Lloyd lowers bunker surcharge
-3.0285885,14.736637,Charlotte Observer,Iran's top leader: No nuclear deal unless sanctions lifted
-34.087738,25.114754,WLS Chicago,Illinois State Police suspend search for escaped prisoner Joshua Drinnon
34.07948,-2.4751298,MoneyAM,Director Deals - Mitchells & Butlers PLC (MAB)
0.17589486,-43.447105,Journal-News,Jennifer Aniston Wears Nothing But A Towel On 'Mother's Day' Set
-10.793419,-28.83731,App.ViralNewsChart.com,The Mirror are singing a new tune about Man United striker Anthony Martial (Pictures)
-9.3266945,8.633105,Reuters India,EU rebukes Hungary as refugee crisis tensions escalate
-8.156369,-6.279816,Richmond Register,Madison Dulcimers Club
26.59608,-8.018164,New Delhi News.Net,Wall St rises as Fed officials confident of rate rise
2.2725458,-4.650584,Kapuskasing Northern Times,"Justin Bieber breaks record, gets very first No. 1 on Billboard"
0.4606249,-3.360079,Indian Express,The govt should not get into building Ram temple: Keshubhai Patel
-36.210236,3.2224078,Herald Press,Madelyn C. Slone
-12.662508,-17.487068,PopSugar,21 Reasons You're About to Be Obsessed With the Style on Empire
-14.507381,-35.76574,News-Messenger,Henderson and Hilton form nice combo 44 minutes ago
20.26762,4.8016124,ShippingWatch,Nigeria looking to renegotiate oil contracts
16.814823,-0.870128,Good Day Sacramento,Radiant Communications Corporation Is Proud to Offer 24/7 Support
-2.8804486,24.207727,Executary News,Help shape the future of PA Life
11.532837,-3.5237608,Canterbury Times,Canterbury Times published Bisto products recalled over fears they contain METAL
-33.432976,-34.532063,App.ViralNewsChart.com,HS Football Players Suspended After Ref Collision
-26.277231,-13.861561,Sangai Express,Aid extended to flood affected victims
-12.930923,-32.80606,Star Ledger,Bergen Catholic (4) at DePaul (4) - Boys Soccer
32.801216,-1.343555,North Eastern Tribune,Volkswagen shares slide more than 6% in late morning trade
-8.006388,2.7526388,UAE NewsApp.com,Registration opens for MEADFA Conference 2015
16.680151,-1.2337667,Reliance Trust,Moving Company Brooklyn Offers a Wide Range of Reliable and Professional Quality Moving Services
15.484898,-18.007069,Times Newspapers Online,Hunua pest programme complete
14.551851,-22.79099,Performance Materials Net,High-strength thermoplastic compounds
10.236693,4.966415,Grub4Life,Child Health Research Institute names six faculty scholars - Stanford Medical Center Report
1.454427,-9.518675,ChemInform,ChemInform Abstract: Maleimide as an Efficient Nucleophilic Partner in the Aza-Morita—Baylis—Hillman Reaction: Synthesis of Chiral 3-Substituted-3-aminooxindoles.
-3.1646786,-27.005241,NigerianHerald.com,FIFA president Sepp Blatter under criminal investigation by Swiss officials
-18.77923,13.580276,WSFA,4 lanes of US 68 at 22 MM in Trigg Co. blocked after crash
5.2364335,-0.18016903,Hindustan Times,9/2/2015: Htbusiness: CCI TO BEGIN FINAL HEARING IN GOOGLE CASE SOON
26.842838,0.5016911,MyInforms,Krispy Kreme stock falls after release of 2Q earnings
-7.2874722,-20.29348,Weekly Times Now,Andrews won't reveal what Grand Prix cost
-18.919506,-6.7985187,Beaver County Times,Get Out This Weekend: Freddy's Haunts
9.424652,24.231234,Comaro Chronicle,‘Strong’ Russian presence in eastern Ukraine: NATO chief
10.413732,13.6122,WHTC.com,U.S. says 17.6 million Americans gained health insurance through law
21.491945,-12.105189,Business Recorder,"LME aluminium’s target at $1,686 temporarily aborted"
24.02174,-1.6349839,The New Age Online,Greece raises 1.4 bn euros in six-month treasury bill sale
-27.748793,-13.250045,Fresno Bee,Wood shuts down Padres as Dodgers win 2-0
-24.45419,-8.09467,Topix,West Nile Virus Cause of Laurel Woman's Death: ICYMI
11.855376,-16.781052,Umicore Group,Share price 36.850 EUR +1.99 %
-10.444221,0.5375546,Corvallis Gazette-Times,Sleep Apnea Treatment Fair set for Wednesday
-10.339995,19.457275,TheTurkeyNews.Net,Druze gunmen kill six Syrian security personnel in south - monitor
25.904938,-4.4274755,Individual.com,Bajaj Auto August sales increase
14.803344,-26.241549,Ezine Articles,You Will Be Underestimated During the Course of Your Career
-9.437883,-3.4953377,Wirral Globe,Rihanna: Why I won't join Taylor Swift on stage
-16.27586,-21.005672,MyInforms,Texans’ Randy Bullock on missed PAT: ‘That’s the impact of the new rule’
24.91639,11.446041,BioPortfolio,"PureTech, Now Public, Names Ex-Biogen Exec MacLean New CFO"
-8.887095,-28.03284,Latest Nigerian News.com,Gidado Shuaib: Deciding moment at UN Youth Assembly
5.364573,20.81556,WCTI12.com,DENR in court to stop Duke Energy closing more coal ash pits
12.291054,-26.040276,The Palm Beach Post,flamenco-suri
19.202133,27.62927,Daijiworldcom,Modi meets Cameron
-25.336132,21.61228,SABC,Officers caught using SAPS tow trucks for private jobs
8.992752,-22.631989,Recruiter Magazine,H1 Healthcare brings Mirza on board as NED
-32.592808,7.9726048,FoxSports.com.au,Bunnies aim to bring back Burgess
41.021187,-9.945888,U-T San Diego,United Arab Emirates Crude Oil Refinery Outlook to 2020 Industry Analysts Says: By MarketResearchReports.Biz
22.677671,25.459728,NewsOnFeeds.com,Regional bloc ECOWAS says new delegation to be sent to Burkina Faso
4.347194,-0.7344278,NewsOnFeeds.com,The Window for the Mets to Keep Yoenis Cespedes Is Opened Wide
26.916342,5.7479877,Yahoo! Canada,IIROC Trading Halt - ODX.H
-6.358289,-7.4632363,WA Today,Hearth: A Poem by Will Eaves
-26.783941,-3.123146,Rio Rancho Observer,Mayor interviews youth ranch leader
17.439945,13.976559,The News International,Carpets expo from Oct 6
10.810017,-0.22401017,American Banker,The Hidden Danger of Applying for a BitLicense
-2.5959463,-4.467412,MyInforms,Pasek and Paul’s Dogfight Will Get London Concert Reunion
38.310123,19.800154,CW Richmond WUPV,An Update on Recent Deals - Report on Solera Holdings Inc.
9.855193,-34.70085,NewsNG.com,"Meet Nigerian male model who walks Milan, Paris runways"
8.081827,-11.599241,The Palm Beach Post,Photos: Josh Groban kicks off tour in Atlanta
38.165154,-10.781131,Town Hall,Streaming Media Device Market 2015 to Grow at a CAGR of 6.02% by 2019: Market Research Store
-17.311169,27.71839,Cape Times E-dition,17/09/2015: WORLD NEWS: Man tried over Rwanda killings
41.897503,-12.870541,Individual.com,"Global MHCV Market 2015-2019, New Report Launched"
0.5521851,8.785447,TheTurkeyNews.Net,Lib Dem breaking up over call for party to MERGE with anti-Corbyn Labour MPs
-6.519751,-2.9526591,Gizmodo India,This hot sauce is made with giant ants and termites
-18.55727,-18.943531,WYFF4.com,Colts acquire DL Winn from Browns
-27.420805,26.56318,Bridgwater Mercury,Death of man pulled from sea at Falmouth was 'non-suspicious'
-32.277622,21.066608,HT Syndication,'I believe in performing ranter than claiming'
-1.840553,2.6376104,EUobserver,[Ticker] Armenia-Azerbaijan conflict flares up
-20.82684,-21.18555,DailyMe.Com,"Carlos Correa, Jose Altuve have 2-homer games"
-16.170261,33.196056,ITV.com,Fraudulent bank worker faces sentencing
-14.729063,28.113617,Bayou Buzz,Change-of-plea hearing set in deadly platform fire
26.394423,-3.2764559,BriefingMarket,Bond Market Update: 11-Sep-15 02:40 ET
10.464629,-10.126041,Football Transfer Rumours,Chelsea star being chased by several clubs after dodgy start to season
-24.57478,-1.7975864,MyInforms,FBI searches Palm Spring City Hall in relation to criminal activity
19.673296,-27.176577,HCLocal.com,Lady Cats golf show improvement vs. Collins
31.009907,-16.732197,Financial Content,Company Update: Medtronic Inc (NYSE:MDT) – Medtronic EVP & CFO Gary Ellis to Speak at Wells Fargo Healthcare Conference
43.74224,20.282774,ABC6.com,Flowers Foods President And CEO Exercises Options
10.5244465,9.028164,ITV.com,Four-legged Private Derby earns his stripes
-1.0724617,39.24904,Dow Jones Daily Bankruptcy Review,Pacific Lutheran Could Default on $54 Million in Bonds
-22.087946,-16.672956,KWYR,Bassmasters to auction off a pheasant hunt!
19.554438,23.55351,AllAfrica.com,Algeria: Intelligence Chief Sacked in Surprise Shake-Up
6.880313,19.698017,NigerianHerald.com,"“Invasion of Akwa-Ibom Govt House by DSS, barbaric “"
-30.321823,6.5119123,India Everyday,When Dhoni brought the T20 World Cup home in 2007!
-6.55911,-12.489457,Observer-Dispatch,Game of Thrones Just Cast Sam Tarly's Entire Family
7.289476,-7.3731184,Tech Investor News,Sprint possibly joining T-Mobile in selling Apple Watch on September 25 (Adam Westlake/SlashGear)
8.745636,17.129923,NewsR.in,Lalu compares Ram Vilas & Jitan Manjhi with monkeys fallen from their gang (Part - 2)
41.289307,-9.34241,Fat Pitch Financials,Drax Group Plc - Power Plants and SWOT Analysis Market Growing to Boost Industry Forecast by 2015
1.0800691,4.4059906,GOLFmagic,Talkback: Rory McIlroy earns Race to Dubai exemption
-9.328563,-33.019566,Merced Sun-Star,Robredo beats Youzhny at St. Petersburg Open
-5.6330786,-18.299421,Canadian News,→ Roger Federer #RogerFederer Paul Annacone marvels at the adjustments Roger Federer has made 996 Newfoundland CAN…
29.797173,3.8089116,Moneycontrol.com,DOT COM Global: Outcome of AGM
-3.6158395,7.258374,Greenock Telegraph,Decision on £1.25m Gourock flats put on hold
20.389774,23.145264,DDI News,UPDATE: PM addressing meet on space tech
-34.32713,-34.76461,App.ViralNewsChart.com,Rossi returns home with championship lead
-10.717023,0.85932255,Israel National News,No Private Cars Allowed at Hevron Slichot Event
-2.3718557,-7.12068,MyInforms,‘Mars Mystery Solved': NASA to Announce ‘Major’ News
22.008265,-4.3693504,Foreign Affairs.co.nz,Driving continued growth: The Ethiopia Summit 2015
9.696026,13.207049,European Commission,Commission and WHO Europe scale up cooperation
43.101097,20.035713,19 Action News,"DC-Based LEVICK Opens Texas Office, Solidifying Presence In Four Of The Top Five Biggest States In USA"
-28.185612,12.289446,1540 KXEL,"Crawley Guilty of Burglary, Robbery"
4.7914705,26.665237,Focus Bulgaria,"Rival migrant demos in divided Europe, as Munich buckles under strain"
44.95161,20.769846,KSWO,"Body Worn Insect Repellent Market - Global Industry Analysis, Size, Share, Growth, Trends and Forecast 2015 - 2021"
-19.789722,13.359806,Heritage News-Herald,"Inkster Road closed for repairs in Romulus between Ecorse Road, Trolley Industrial Drive"
15.095271,-13.618806,TickerTech.com,Researchers have found adult pancreas cells that may be used to develop insulin-producing beta cells for diabetic patients.
0.27745155,-13.673064,YoMzansi,AKA releases new single ‘COMPOSURE’
33.279926,-16.844765,ABC Action News,VIDEO: Why did the chicken cross the road?
-26.992607,-15.484395,New Indian Express,Uber Launched in City
-28.788467,-4.412572,HamptonRoads.com,Chesapeake town hall meeting to be held tonight at Joliff Middle School
-23.000547,-22.606718,Big Bear Grizzly,Golfers on a roll
-5.6888595,-6.327425,Boonville Daily News,Paul Walker's Daughter Meadow Shares Touching Tribute on His Birthday
32.299656,8.002027,WMCTV.com,IIROC Trading Halt - CNE
-3.3679125,9.690787,Fox Sports 1340 AM,America Gets Its First Ninja Warrior
-4.6008277,40.83167,Jackson Sun,09:46CHALK TALK Week 3 - West Tennessee High School Football Preview
-13.115369,-14.706238,Yard Barker,Torey Lovullo: Young Outfielders Playing ‘Confident Baseball’ For Red Sox (Video)
-4.103698,13.99698,Austinnews.net,Boehner Conservative critics follow false prophets with empty promises
-6.382503,-14.585099,WUNC,Lawsuits Will Be Next Battle In Sage Grouse Conservation Saga
26.846844,15.293664,4 Traders,AGTECH : in talks for subscription by potential investor
-11.747001,-24.86899,NewsOnFeeds.com,Desperation a big motivation for footballers taking risks on drugs | Daniel Taylor
-4.562899,-22.637403,Capital Times,Meet the 12-year-old girl who's smarter than Einstein
-1.9376851,8.947592,WHIO TV,What Millennials and Baby Boomers Can Learn From 'The Intern'
-11.08178,-4.1614423,Runcorn and Widnes World,38 Instagram pictures capturing the best of Runcorn and Widnes
-20.084078,-7.768386,UAE NewsApp.com,"Streetwear, pole-dancing, celebs at high-voltage Wang show"
-0.19789633,0.8153712,Personal Care Magazine,Shielding against pollution for pristine clear skin
25.82156,11.348713,EIN News,Matrix Service Company to Present at the 14th Annual D.A. Davidson Engineering & Construction Conference
24.14945,5.618701,Latest Nigerian News.com,"Growth Platforms, Not Idea Competitions, Drive Innovation"
26.392107,-6.181917,WTAQ News Talk,"Jobless rates in every Wisconsin city, county drops"
0.95594317,-9.209331,Texarkana Gazette,Cheers & Jeers
18.079205,-7.9326096,Big News Network,Wolters Kluwer ELM Solutions Releases Passport GRC Third-Party Risk Monitor Module
6.2638774,3.823391,Wicked Local Melrose,Amazon Offering Discounted Prime Membership to Celebrate Transparent's Emmy Wins
-27.79615,21.124666,Rotorua Daily Post,2 Man killed in Waimana Gorge named
-42.062656,-18.188175,NewsR.in,4 big reasons why IT staff are more unhappy than others at work
4.4654965,19.229244,Q-95.5 KRRQ-fm,Tyga Owes the State of California a Lot of Money
15.8570175,5.2991056,LexisPSL Corporate,Companies (Disclosure of Date of Birth Information) Regulations 2015
12.254652,36.29821,HT Syndication,"JUNG GOOD MAN BUT PMO IS BAD, SAYS KEJRIWAL"
-17.614027,17.57972,MyInforms,Two injured in Fort Worth mobile home fire
13.1310425,3.0645897,Economic Times,Volkswagen scandal will have personnel consequences: German State Economy Minister
-3.710637,39.54525,Canyon Courier,BRAINS AND BRAWN
-36.26321,4.465597,Tennessean,"Carroll, Barbara"
-13.966485,-21.317476,Football News Network,£25 million rated German opens up and makes big Chelsea announcement!
-18.605907,-23.001568,Sportsnet.ca,RGIII still awaiting medical clearance to return
-17.194859,31.405476,WCTI12.com,Seven family members sentenced in sex abuse case; 1 to be tried
10.317794,-16.55632,Channel 5,The Wright Stuff : Coming up on Thursday 24th September
-9.812032,-23.77079,DailyMe.Com,"Disappointed Serena Williams may not play again in 2015, says coach | Sport"
42.313072,7.2501516,San Antonio Business Journal,How to appeal to multiple audiences on LinkedIn
-6.902894,1.598492,ABC15.com,RECIPE: Italian Comfort Food
1.3951555,-14.112796,CBC,"Atlantic Tonight - September 01, 2015"
25.139896,-2.0118093,Nasdaq,United Microelectronics August Sales Rise 6.8% - Quick Facts
41.149628,-11.944448,A.M. Best,"Decorative Paints Market: Global Industry Analysis, Trends and Forecast,2015 - 2025: FMI Estimate"
-25.236008,-1.2265044,TheStar.com.my,Himpun 16: Buses ferry protesters to city centre
-8.892463,-4.369952,Somerset County Gazette,This year's Bridwater Flower Show: 'A real community event.'
-13.771608,-21.748978,MyInforms,Football: AFC Wimbledon defender out for the rest of the season
23.169983,-4.7919807,Pettinga Financial Advisors,One More Sign Microsoft Cloud Services Are On The Right Track
28.983095,-13.884514,TrustNet,MSM - Cancellation Notice
-26.7344,21.306997,FOXNews.com,"Gunmen attack Saudi police checkpoints, killing 3"
-19.658628,-20.027777,Tech Investor News,Surprise Game Boosts Xbox One Backward Compatibility (Travis Pope/GottaBeMobile)
-39.925255,-18.459568,NewsR.in,Centre sanctions 10 crore rupees for setting up a hotel management institute at Sawai Madhopur in Rajasthan
-32.3693,22.127739,New Delhi News.Net,Police vow to learn ‘every lesson’ from Sheku Bayohs custody death
6.2671027,-3.683017,MyInforms,Persons Real And Fictional Puzzle Over Ronald Reagan In 'Finale'
-16.470798,-6.7379036,Lewis County Chronicle,Bill Moeller Commentary: A Columnist’s Collection of Observations on Human Relations
-1.3515608,-27.03027,Bayou Buzz,Janet Jackson World Tour is coming to the Cajundome
1.994242,-1.3652223,DangoteNews.com,Lil Wayne talks about his first phone encounter with Jay Z
20.473448,24.703371,Uncova,Pres. Buhari to Embark on 3-Day Official Visit to France
-4.183328,26.446964,EIN News,Will Americans love Cuba's eco-treasures to death?
-14.433839,-37.804756,Miami Herald,"Grambling State beats Alabama State, 34-10"
-8.344571,13.383108,DailyNews724.com,Philadelphia Controller's Office...
20.03267,-35.414047,NEWS.com.au,Pope Francis Is Releasing a Rock Album
-2.7280903,41.41406,Alpena News,Raising awareness about suicide prevention
7.5063753,-1.7776234,SecuObs.com,"SMA Robot Jumps 7 Times Its Height, Weighs Nothing"
13.076008,-22.688435,Honolulu Magazine,2:00 PM - 7:00 PMEat the Street Mililani + European Wax Center
-23.967823,16.650152,Can India News,Haryana Police receive medical training
8.428961,34.207123,Herald Sun,"Russia: Putin talks Syria, Middle East with Israeli PM Netanyahu"
-21.257511,30.753965,Falkirk Herald,Former Rangers chief executive Charles Green quizzed by police
43.632828,21.516577,Stock Nod,Global Shoulder Bags Market 2015-2019
-8.852354,-20.360052,MyInforms,Llorente ‘suffering to see Juventus'
10.19953,-4.0150023,Discovery.co.za,Eat healthily and get up to 25% cash back on your monthly HealthyFood bill.
4.2183995,29.348963,BBC,Warm welcome for migrants in Munich
-19.922323,-14.832258,Chattanoogan,"Stockdale, Owls Cheerleader, Named To All-State Squad"
4.963218,-10.138224,Harlow Star,Harlow fashionista Claire to show off designs at top London show
-13.809083,-36.211483,KCTV 5,Packers take early lead
35.931107,-3.134259,Mideast Time,BioPharmX Corp Coverage Initiated at Sterne Agee CRT (BPMX)
-14.81291,24.305439,Sun Herald,Police press ahead with Phoenix freeway-shooting probe
-7.0467825,-32.386505,Yahoo! Singapore,Goffin keeps Belgium's Davis Cup hopes alive
-3.1633897,-27.17626,Sys-Con Media,"A Crime Scene Investigation to solve Alzheimer's disease, a serial killer making millions of victims around the world"
0.976716,38.281506,El Paso Inc,Community College Week Magazine recognizes EPCC
-15.094238,-23.22284,"Malaysia - Our Passions, Our Concerns",Football | EPL Preview: Chelsea missing Terry with captain's place under scrutiny
11.118024,29.394157,The Hindu,Anti-women chapter goes from textbook
26.830994,-5.515149,EIN News,Brazil August Current Account Gap Narrows More Than Forecast
10.640044,33.323353,Britain News.Net,Power sharing in Northern Ireland threatened with collapse
7.250128,-15.607386,Kaumudi,Two deported from UAE for ISIS link: DGP
8.458016,14.435154,1010 WCSI,New indictment adds money laundering to charges against Washington state Auditor Troy Kelley
-9.822024,-2.5301914,AgroPages.com,Approval for Rotam’s non-GM SU canola delays in Canada
-3.2434516,-7.5876327,Cool Cleveland,Ellen Fullman Plays Her Long String Instrument @TransformerStat for Three Night
-2.183486,41.39803,Wicked Local Framingham,Framingham to dismiss schools early on Wednesday
8.372728,-51.663494,Oil City Derrick,UN: 'Record' amount of aid for Syria crisis still not enough
0.4302891,8.749301,The Sydney News,NHS prescription charges can cost FOUR times the usual shop price
7.439117,2.9463444,CHINAdaily.com.cn,HK plans to rejuvenate industrial estates
-1.8584411,17.553268,Honolulu Star-Advertiser,Farrington Highway closed after moped accident
-16.94559,-23.222258,Union Democrat,"Sonora, Lathrop soccer canceled"
8.715523,3.8204124,Dubai Informer,Dewa looks intodiplomatic tieswith Canada
3.4254034,14.402862,Bayou Buzz,"Congress must defund Planned Parenthood, Walker says"
38.28284,-25.137148,Market Intelligence Center,CA (CA) Trading Near $28.09 Resistance Level
-4.256696,-32.501156,Yahoo! Maktoob News,Uruguay team to play Wales
-29.29226,20.139652,Hindustan Times,9/7/2015: Nation: Two boys drown in quarry pit in Tamil Nadu
-12.639121,-34.095684,Intelligencer Wheeling News-Register,"Shamrocks Rout Clay-Battelle, 45-6"
5.895645,-8.334465,MSN UK,"What Consumers, Investors Can Expect From Apple's Event"
-22.459528,-11.412491,Coloribus.com,Print ads: Names
19.37895,-2.7504354,4 Traders,BAKER HUGHES : Announces Third Quarter 2015 Earnings
-3.340048,-2.7609134,Belmont County Times Leader,Characters bring history to life in cemetery tour
-17.748701,10.882358,92.9 WLMI,"Governor, ""Quadrant"" Express Optimism About State Road Funding Deal"
26.557243,-0.663223,Daily Kos,Corporations are putting a $535 billion squeeze on workers' share of the pie
7.492703,-1.7899113,GlobalNRGNews.com,AUB launches new graduate program in PPIA
10.948705,35.547142,Prime 7,WA Premier pleads for federal stability
2.1941428,-6.6352153,MyInforms,Google Pixel C Android Tablet Announced
19.351864,12.575084,Northern Territory News,Newcrest sells balance stake in Evolution
6.541653,-26.629923,Hinton Parklander,Zac Efron and Sami Miro Celebrate One-Year...
1.4802014,-0.11601778,Chicago Cubs,"Angels, Tropeano will try to slow down Greinke"
-20.032995,3.14799,WA Today,Perth Fashion Festival opening night
25.44576,-10.299,SNL Financial,"Argentina forces out 2 HSBC Argentina president, VP, gives 24 hours to name replacements"
17.178038,-0.7357898,RCL Advisors,"Henderson, Nevada www.Wasatch-Contract-Manufacturing.com News: Utah ""Wasatch Labs"" Awarded ""Best-of-the-State"" for Best Professionalism of Anti-Aging Serum Being Sold Into Retail and M-L-M Channels"
-29.242064,8.256259,Yahoo! News Australia,Search for prospector family in WA (AAP)
-21.56413,18.108587,Bellingham Herald,3 women in their 20s were killed in Spokane crash
-16.744665,26.966959,Classic Hits 99.3 The Eagle,URGENT – Boston Baby Doe Punched
21.168285,-2.585467,GCTL8.com,HIT takes delivery 12 new electric RTGs
13.094328,-0.54816306,Sify,BRIEF-Srei Infrastructure Finance says SEZ set up by Attivo Economic Zone Pvt Ltd
-6.2286334,0.4165364,Aurora Advocate,Watercolor demo highlights fall Hudson Society of Artist's meeting
15.978374,2.635807,ABC Online,Consumer Action Law Centre reveals heavy cost of 'rent-to-buy' consumer lease deals
-34.923424,23.224428,Morning Call,"5 people, including 3 kids, found dead in Minnesota home"
-8.696378,0.44827676,ArtThrob,TOP UP INSIDE OUT
15.49023,-0.10403176,Hindu Business Line,Renault India launches small car Kwid at Rs 2.56 lakh
5.278936,27.88945,Denmark News.net,Greeces Lesbos near explosion with over 15000 refugees minister
10.373074,-13.231212,Global Advisors,Need to Know: Time for Europe to glitter and lift stocks worldwide
19.881924,4.720992,DangoteNews.com,Cargo Operator at Edwin Drake
11.201505,32.286392,MSN Philippines,Sinn Fein slams call to suspend N.Ireland Assembly
-19.51578,-6.134428,MyInforms,"The Newsletter of September 17th, 2015 is Now Online!"
-38.15202,-17.744987,Pulse.ng,"John Legend: 'No hot nannies,' singer's model wife shares her house rules"
20.025024,-8.021938,Big News Network,"Brazil well prepared to cope with U.S. rate rise, minister says"
-6.651991,-2.3640194,Elite Daily,Women Hilariously Explain Why They Choose To Fake Orgasms (Video)
9.818359,-32.61592,KSLX-FM 100.7,SCORPIONS BIG SCREEN DEBUT 10/14/15
-27.756914,28.70184,ITV.com,Two police officers assaulted in Kings Cross
12.665684,19.986784,Belleville News Democrat,Myanmar's Suu Kyi opens election campaign on Facebook
-11.756376,-13.79186,Financial Mirror,Richard Mille Replica Watches
25.326921,-19.20261,Telegraph,John Lewis Partnership has solid first half
-6.2682233,19.394035,MyInforms,Health24.com | Tobacco and your body
-14.629464,6.1685677,KABC Los Angeles,Metro bus shooting in South Los Angeles leaves 1 wounded
-15.937976,2.5648363,IGN.com UK,We Accidentally Invited A Clown to IGN
-15.97074,-19.072727,Paris Star,Top shoulder season travel deals - summer/fall 2015
-18.202494,9.787471,News24,Kidero announces plans to close Nairobi roads 15 minutes ago in MyNews24
-23.336878,30.854128,NewsR.in,Sitapur rape victim and family lock themselves in house on alleged life threat
12.277698,-6.3926883,Business Journal of Milwaukee,How to keep company property from walking out the door
-33.964455,-34.429367,App.ViralNewsChart.com,The Benefit of Making Eye Contact with Strangers.
-38.77202,-16.600077,NewsR.in,Yemen conflict: US providing humanitarian aid of USD 89 million
11.082938,35.98104,MyInforms,"Australian prime minister ousted in internal party challenge, replaced by former party leader"
